# Hydrocarbon molecules for quantum chemistry
# Geometries from NIST CCCBDB and computational chemistry databases
#
# Format: Name,Formula,Charge,Multiplicity,Category,Reference,Atoms
# Atoms format: Element:X:Y:Z;Element:X:Y:Z;...
# Coordinates in Angstroms
#
Name,Formula,Charge,Multiplicity,Category,Reference,Atoms
methane,CH4,0,1,alkane,NIST CCCBDB,C:0.0:0.0:0.0;H:1.089:0.0:0.0;H:-0.363:1.027:0.0;H:-0.363:-0.513:0.890;H:-0.363:-0.513:-0.890
ethane,C2H6,0,1,alkane,NIST CCCBDB,C:-0.762:0.0:0.0;C:0.762:0.0:0.0;H:-1.157:1.013:0.0;H:-1.157:-0.507:0.878;H:-1.157:-0.507:-0.878;H:1.157:-1.013:0.0;H:1.157:0.507:-0.878;H:1.157:0.507:0.878
propane,C3H8,0,1,alkane,NIST CCCBDB,C:0.0:0.0:0.0;C:-1.270:0.0:0.880;C:1.270:0.0:0.880;H:0.0:0.0:-1.090;H:0.0:-1.013:0.363;H:-1.270:0.0:1.970;H:-1.270:-1.013:0.517;H:-2.163:0.507:0.517;H:1.270:0.0:1.970;H:1.270:-1.013:0.517;H:2.163:0.507:0.517
ethylene,C2H4,0,1,alkene,NIST CCCBDB,C:-0.665:0.0:0.0;C:0.665:0.0:0.0;H:-1.234:0.927:0.0;H:-1.234:-0.927:0.0;H:1.234:0.927:0.0;H:1.234:-0.927:0.0
propene,C3H6,0,1,alkene,NIST CCCBDB,C:0.0:0.0:0.0;C:1.330:0.0:0.0;C:-0.765:1.270:0.0;H:-0.505:-0.960:0.0;H:1.860:-0.960:0.0;H:1.860:0.960:0.0;H:-1.852:1.160:0.0;H:-0.235:2.230:0.0;H:-0.765:1.270:1.090
acetylene,C2H2,0,1,alkyne,NIST CCCBDB,C:-0.602:0.0:0.0;C:0.602:0.0:0.0;H:-1.665:0.0:0.0;H:1.665:0.0:0.0
benzene,C6H6,0,1,aromatic,NIST CCCBDB,C:1.396:0.0:0.0;C:0.698:1.209:0.0;C:-0.698:1.209:0.0;C:-1.396:0.0:0.0;C:-0.698:-1.209:0.0;C:0.698:-1.209:0.0;H:2.481:0.0:0.0;H:1.240:2.148:0.0;H:-1.240:2.148:0.0;H:-2.481:0.0:0.0;H:-1.240:-2.148:0.0;H:1.240:-2.148:0.0
toluene,C7H8,0,1,aromatic,NIST CCCBDB,C:1.396:0.0:0.0;C:0.698:1.209:0.0;C:-0.698:1.209:0.0;C:-1.396:0.0:0.0;C:-0.698:-1.209:0.0;C:0.698:-1.209:0.0;C:2.896:0.0:0.0;H:1.240:2.148:0.0;H:-1.240:2.148:0.0;H:-2.481:0.0:0.0;H:-1.240:-2.148:0.0;H:1.240:-2.148:0.0;H:3.261:1.028:0.0;H:3.261:-0.514:0.890;H:3.261:-0.514:-0.890
naphthalene,C10H8,0,1,aromatic,NIST CCCBDB,C:0.0:0.712:0.0;C:0.0:-0.712:0.0;C:1.243:1.403:0.0;C:-1.243:1.403:0.0;C:1.243:-1.403:0.0;C:-1.243:-1.403:0.0;C:2.426:0.712:0.0;C:-2.426:0.712:0.0;C:2.426:-0.712:0.0;C:-2.426:-0.712:0.0;H:1.243:2.491:0.0;H:-1.243:2.491:0.0;H:1.243:-2.491:0.0;H:-1.243:-2.491:0.0;H:3.370:1.249:0.0;H:-3.370:1.249:0.0;H:3.370:-1.249:0.0;H:-3.370:-1.249:0.0
formaldehyde,CH2O,0,1,aldehyde,NIST CCCBDB,C:0.0:0.0:0.0;O:0.0:1.208:0.0;H:0.943:-0.587:0.0;H:-0.943:-0.587:0.0
acetaldehyde,C2H4O,0,1,aldehyde,NIST CCCBDB,C:0.0:0.0:0.0;C:1.500:0.0:0.0;O:-0.604:1.139:0.0;H:-0.520:-0.980:0.0;H:1.857:1.028:0.0;H:1.857:-0.514:0.890;H:1.857:-0.514:-0.890
methanol,CH4O,0,1,alcohol,NIST CCCBDB,C:0.0:0.0:0.0;O:1.427:0.0:0.0;H:-0.390:1.011:0.0;H:-0.390:-0.506:0.876;H:-0.390:-0.506:-0.876;H:1.783:0.898:0.0
ethanol,C2H6O,0,1,alcohol,NIST CCCBDB,C:0.0:0.0:0.0;C:1.512:0.0:0.0;O:-0.577:1.312:0.0;H:-0.363:-0.513:0.890;H:-0.363:-0.513:-0.890;H:1.876:1.013:0.0;H:1.876:-0.507:0.878;H:1.876:-0.507:-0.878;H:-1.534:1.312:0.0
formic_acid,CH2O2,0,1,carboxylic_acid,NIST CCCBDB,C:0.0:0.0:0.0;O:1.196:0.0:0.0;O:-0.655:1.139:0.0;H:-0.640:-0.940:0.0;H:0.218:1.736:0.0
acetic_acid,C2H4O2,0,1,carboxylic_acid,NIST CCCBDB,C:0.0:0.0:0.0;C:1.500:0.0:0.0;O:2.037:1.139:0.0;O:2.037:-1.139:0.0;H:-0.363:0.513:0.890;H:-0.363:0.513:-0.890;H:-0.363:-1.027:0.0;H:2.966:-1.139:0.0
